"","RecordType","Survey","Quarter","Country","Ship","Gear","SweepLngt","GearEx","DoorType","StNo","HaulNo","Year","Month","Day","TimeShot","DepthStratum","HaulDur","DayNight","ShootLat","ShootLong","HaulLat","HaulLong","StatRec","Depth","HaulVal","HydroStNo","StdSpecRecCode","BySpecRecCode","DataType","Netopening","Rigging","Tickler","Distance","Warplngt","Warpdia","WarpDen","DoorSurface","DoorWgt","DoorSpread","WingSpread","Buoyancy","KiteDim","WgtGroundRope","TowDir","GroundSpeed","SpeedWater","SurCurDir","SurCurSpeed","BotCurDir","BotCurSpeed","WindDir","WindSpeed","SwellDir","SwellHeight","SurTemp","BotTemp","SurSal","BotSal","ThermoCline","ThClineDepth","CodendMesh","SecchiDepth","Turbidity","TidePhase","TideSpeed","PelSampType","MinTrawlDepth","MaxTrawlDepth","DateofCalculation","call_distance","call_door","call_wing_DS","call_wing_DP","call_wing","SweptAreaDSKM2","SweptAreaWSKM2"
"31","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",90,33,2002,10,23,1135,54,20,"D",36.9183,-7.7983,36.9066,-7.8183,"02E2",190,"V",NA,1,1,"C",NA,NA,NA,2963,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,3.2,NA,NA,NA,NA,NA,350,2,270,1,20.1,13.3,36,35.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,2963,45.7,15.1,14.7731102357509,14.7731102357509,0.1354091,0.04377272562853
"32","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",27,5,2002,10,6,1557,55,30,"D",40.1416,-9.595,40.17,-9.5766,"09E0",243,"V",NA,1,1,"C",NA,NA,NA,3514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,3.3,NA,NA,NA,NA,NA,330,2,330,0.5,20.5,12.7,35.5,35.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,3514,45.7,15.1,15.0991957091008,15.0991957091008,0.1605898,0.05305857372178
"33","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",24,2,2002,10,6,935,53,30,"D",40.135,-9.0599,40.1616,-9.0483,"09E0",60,"V",NA,1,1,"C",NA,NA,NA,3333,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,3.3,NA,NA,NA,NA,NA,NA,2,335,0.5,20.3,NA,35.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,3333,45.7,15.1,13.2454071806577,13.2454071806577,0.1523181,0.0441469421331321
"34","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",8,9,2002,10,11,935,53,30,"D",41.2483,-8.9666,41.2766,-8.9633,"11E1",71,"V",NA,1,1,"C",NA,NA,NA,3162,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3.2,NA,NA,NA,NA,NA,330,10,330,2,18.6,13.1,35.48,35.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,3162,45.7,15.1,13.4685102830484,13.4685102830484,0.1445034,0.0425874295149989
"35","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",48,55,2002,10,28,925,54,30,"D",38.5266,-9.445,38.5333,-9.4133,"06E0",127,"V",NA,1,1,"C",NA,NA,NA,2778,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,3,NA,NA,NA,NA,NA,NA,5,210,1,18.8,14.3,35.69,35.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,2778,45.7,15.1,14.2392104930599,14.2392104930599,0.1269546,0.0395565267497204
"36","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",92,32,2002,10,23,925,54,30,"D",36.965,-7.5516,36.97,-7.5866,"02E2",108,"V",NA,1,1,"C",NA,NA,NA,3158,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,3,NA,NA,NA,NA,NA,350,2,270,1,19.3,14.6,36.02,36.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,3158,45.7,15.1,14.0244298630007,14.0244298630007,0.1443206,0.0442891495073563
"37","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",42,66,2002,10,31,905,55,30,"D",39.31,-9.9466,39.2983,-9.9683,"07E0",321,"V",NA,1,1,"C",NA,NA,NA,2778,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,3,NA,NA,NA,NA,NA,240,5,270,1.5,19,12.2,35.84,35.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,2778,45.7,15.1,15.4681460405879,15.4681460405879,0.1269546,0.0429705097007533
"38","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",37,59,2002,10,29,905,54,30,"D",39.7049,-9.3866,39.7299,-9.3933,"08E0",132,"V",NA,1,1,"C",NA,NA,NA,2778,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,3,NA,NA,NA,NA,NA,180,5,180,1,18.9,13.5,35.79,35.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,2778,45.7,15.1,14.2903886415528,14.2903886415528,0.1269546,0.0396986996462336
"39","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",14,14,2002,10,13,855,55,30,"D",40.875,-9.3366,40.8466,-9.3233,"10E0",280,"V",NA,1,1,"C",NA,NA,NA,3344,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,3,NA,NA,NA,NA,NA,250,7,270,2,19.3,NA,35.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,3344,45.7,15.1,15.2870350355538,15.2870350355538,0.1528208,0.0511198451588919
"40","HH","PT-IBTS",4,"PT","68NA","NCT",NA,"B","P",2,7,2002,10,7,845,53,30,"D",41.6283,-8.9933,41.6549,-8.99,"12E1",76,"V",NA,1,1,"C",NA,NA,NA,3704,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3.5,NA,NA,NA,NA,NA,350,2,350,0.5,19.6,13,35.34,35.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20150128,3704,45.7,15.1,13.5587048972605,13.5587048972605,0.1692728,0.0502214429394527
